name,BHR,ITA,PRT,ESP,MCO,AZE,FRA,AUT,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,TUR,JPN,USA,MEX,BRA,AUS,SAU,ARE
Mercedes,41,60,101,141,148,148,178,212,242,285,303,310.5,344.5,362.5,397.5,433.5,0,0,0,0,0,0,0
Red Bull,28,53,83,112,149,174,215,252,286,289,291,303.5,332.5,344.5,364.5,397.5,,,,,,,
McLaren,18,41,53,65,80,92,110,120,141,163,163,169,170,215,234,240,,,,,,,
Ferrari,12,34,42,60,78,94,94,108,122,148,163,165.5,181.5,201.5,216.5,232.5,,,,,,,
Alpine,0,3,13,15,17,25,29,31,32,40,77,80,90,95,103,104,,,,,,,
AlphaTauri,2,8,9,10,18,39,45,46,48,49,68,72,84,84,84,92,,,,,,,
Aston Martin,1,5,5,5,19,37,40,44,44,48,48,53,53,59,59,61,,,,,,,
Williams,0,0,0,0,0,0,0,0,0,0,10,20,20,22,23,23,,,,,,,
Alfa Romeo,0,0,0,0,1,2,2,2,2,2,3,3,3,3,7,7,,,,,,,
Haas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
