name,BHR,ITA,PRT,ESP,MCO,AZE,FRA,AUT,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,SIN,TUR,JPN,USA,MEX,BRA,AUS,SAU,ARE
Red Bull,28,53,83,112,149,174,215,252,286,289,,,,,,,,,,,,,,
Mercedes,41,60,101,141,148,148,178,212,242,285,,,,,,,,,,,,,,
McLaren,18,41,53,65,80,92,110,120,141,163,,,,,,,,,,,,,,
Ferrari,12,34,42,60,78,94,94,108,122,148,,,,,,,,,,,,,,
AlphaTauri,2,8,9,10,18,39,45,46,48,49,,,,,,,,,,,,,,
Aston Martin,1,5,5,5,19,37,40,44,44,48,,,,,,,,,,,,,,
Alpine,0,3,13,15,17,25,29,31,32,40,,,,,,,,,,,,,,
Alfa Romeo,0,0,0,0,1,2,2,2,2,2,,,,,,,,,,,,,,
Williams,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Haas,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
